"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 28일","274.58","269.60","274.58","268.33","127.63M","2.30%"
"2018년 11월 27일","268.40","266.34","268.40","265.66","75.50M","0.34%"
"2018년 11월 26일","267.50","265.78","267.75","265.34","79.98M","1.61%"
"2018년 11월 23일","263.25","263.18","264.82","263.07","42.81M","-0.67%"
"2018년 11월 21일","265.02","265.86","267.15","265.01","75.56M","0.34%"
"2018년 11월 20일","264.12","265.36","267.00","263.15","136.02M","-1.85%"
"2018년 11월 19일","269.10","273.05","273.38","268.07","103.06M","-1.69%"
"2018년 11월 16일","273.73","271.79","274.75","271.21","126.67M","0.26%"
"2018년 11월 15일","273.02","268.78","273.54","267.01","135.10M","1.04%"
"2018년 11월 14일","270.20","274.16","274.61","268.45","125.34M","-0.68%"
"2018년 11월 13일","272.06","273.09","275.32","271.25","98.18M","-0.19%"
"2018년 11월 12일","272.57","277.19","277.46","271.99","99.67M","-1.87%"
"2018년 11월 09일","277.76","279.03","279.24","276.18","98.81M","-0.98%"
"2018년 11월 08일","280.50","280.11","281.22","279.22","65.58M","-0.18%"
"2018년 11월 07일","281.01","277.56","281.10","277.08","102.75M","2.14%"
"2018년 11월 06일","275.12","273.32","275.30","273.25","60.09M","0.63%"
"2018년 11월 05일","273.39","272.44","274.01","271.35","65.62M","0.55%"
"2018년 11월 02일","271.89","274.75","275.23","269.59","122.63M","-0.59%"
"2018년 11월 01일","273.51","271.60","273.73","270.38","99.50M","1.06%"
"2018년 10월 31일","270.63","270.65","273.23","270.12","128.30M","1.07%"
"2018년 10월 30일","267.77","263.67","268.12","263.12","157.12M","1.48%"
"2018년 10월 29일","263.86","268.80","270.25","259.85","160.75M","-0.55%"
"2018년 10월 26일","265.33","265.92","271.00","262.29","201.57M","-1.76%"
"2018년 10월 25일","270.08","267.38","271.81","266.23","138.06M","1.79%"
"2018년 10월 24일","265.32","273.33","273.76","264.70","177.81M","-3.03%"
"2018년 10월 23일","273.61","270.95","274.87","268.61","146.35M","-0.51%"
"2018년 10월 22일","275.01","277.00","277.36","274.41","82.42M","-0.45%"
"2018년 10월 19일","276.25","277.13","279.30","275.47","139.90M","-0.05%"
"2018년 10월 18일","276.40","279.40","280.07","274.97","134.56M","-1.44%"
"2018년 10월 17일","280.45","280.44","281.15","277.56","110.63M","0.02%"
"2018년 10월 16일","280.40","276.60","280.82","276.07","118.26M","2.19%"
"2018년 10월 15일","274.40","275.55","277.04","274.30","102.26M","-0.56%"
"2018년 10월 12일","275.95","276.77","277.09","272.37","183.19M","1.39%"
"2018년 10월 11일","272.17","277.08","278.90","270.36","274.84M","-2.20%"
"2018년 10월 10일","278.30","286.83","286.91","277.88","214.73M","-3.17%"
"2018년 10월 09일","287.40","287.39","288.86","286.77","74.34M","-0.15%"
"2018년 10월 08일","287.82","287.05","288.22","285.50","87.74M","0.00%"
"2018년 10월 05일","287.82","289.69","290.27","286.22","105.95M","-0.56%"
"2018년 10월 04일","289.44","291.18","291.24","287.66","111.55M","-0.78%"
"2018년 10월 03일","291.72","292.74","293.21","291.32","64.69M","0.05%"
"2018년 10월 02일","291.56","291.56","292.36","291.14","47.26M","-0.06%"
"2018년 10월 01일","291.73","292.11","292.93","290.98","62.08M","0.35%"
"2018년 09월 28일","290.72","289.99","291.28","289.95","70.09M","0.01%"
"2018년 09월 27일","290.69","290.41","291.91","290.10","59.25M","0.28%"
"2018년 09월 26일","289.88","290.91","292.24","289.41","79.74M","-0.30%"
"2018년 09월 25일","290.75","291.53","291.65","290.48","44.37M","-0.09%"
"2018년 09월 24일","291.02","291.34","291.50","290.37","53.41M","-0.33%"
"2018년 09월 21일","291.99","293.09","293.22","291.81","105.48M","-0.54%"
"2018년 09월 20일","293.58","292.64","293.94","291.24","100.36M","0.81%"
"2018년 09월 19일","291.22","290.97","291.69","290.82","49.08M","0.11%"
"2018년 09월 18일","290.91","289.58","291.58","289.55","61.93M","0.54%"
"2018년 09월 17일","289.34","290.82","290.86","289.03","68.24M","-0.53%"
"2018년 09월 14일","290.88","291.06","291.27","290.00","55.08M","0.02%"
"2018년 09월 13일","290.83","290.32","291.04","290.00","51.03M","0.59%"
"2018년 09월 12일","289.12","289.06","289.80","288.23","59.81M","0.02%"
"2018년 09월 11일","289.05","287.37","289.55","286.98","50.53M","0.33%"
"2018년 09월 10일","288.10","288.74","289.04","287.88","50.21M","0.17%"
"2018년 09월 07일","287.60","286.98","288.70","286.71","73.52M","-0.19%"
"2018년 09월 06일","288.16","289.15","289.49","287.00","65.91M","-0.30%"
"2018년 09월 05일","289.03","289.41","289.64","287.89","72.45M","-0.27%"
"2018년 09월 04일","289.81","289.84","290.21","288.68","57.59M","-0.17%"
"2018년 08월 31일","290.31","289.84","290.81","289.29","66.14M","0.00%"
"2018년 08월 30일","290.30","290.94","291.36","289.63","61.23M","-0.40%"
"2018년 08월 29일","291.48","290.16","291.74","289.89","61.49M","0.54%"
"2018년 08월 28일","289.92","290.30","290.42","289.40","46.94M","0.05%"
"2018년 08월 27일","289.78","288.86","289.90","288.68","57.07M","0.79%"
"2018년 08월 24일","287.51","286.44","287.67","286.38","57.49M","0.60%"
"2018년 08월 23일","285.79","285.97","286.94","285.43","49.20M","-0.13%"
"2018년 08월 22일","286.17","285.88","286.76","285.57","44.99M","-0.06%"
"2018년 08월 21일","286.34","286.25","287.31","285.71","67.27M","0.23%"
"2018년 08월 20일","285.67","285.57","285.97","285.06","39.81M","0.21%"
"2018년 08월 17일","285.06","283.83","285.56","283.37","65.62M","0.35%"
"2018년 08월 16일","284.06","283.40","285.04","283.36","69.97M","0.81%"
"2018년 08월 15일","281.78","282.38","282.54","280.16","102.93M","-0.75%"
"2018년 08월 14일","283.90","282.92","284.17","282.48","43.84M","0.64%"
"2018년 08월 13일","282.10","283.47","284.16","281.77","65.73M","-0.37%"
"2018년 08월 10일","283.16","283.45","284.06","282.36","77.08M","-0.67%"
"2018년 08월 09일","285.07","285.53","285.97","284.92","35.72M","-0.14%"
"2018년 08월 08일","285.46","285.39","285.91","284.94","42.11M","-0.04%"
"2018년 08월 07일","285.58","285.39","286.01","285.24","43.20M","0.33%"
"2018년 08월 06일","284.64","283.64","284.99","283.20","39.40M","0.37%"
"2018년 08월 03일","283.60","282.53","283.66","282.33","53.94M","0.43%"
"2018년 08월 02일","282.39","279.39","282.58","279.16","63.43M","0.54%"
"2018년 08월 01일","280.86","281.56","282.13","280.13","53.85M","-0.17%"
"2018년 07월 31일","281.33","280.81","282.02","280.38","68.57M","0.49%"
"2018년 07월 30일","279.95","281.51","281.69","279.36","63.74M","-0.52%"
"2018년 07월 27일","281.42","283.71","283.82","280.38","76.78M","-0.68%"
"2018년 07월 26일","283.34","283.20","284.11","283.09","57.92M","-0.24%"
"2018년 07월 25일","284.01","281.33","284.37","281.28","78.88M","0.85%"
"2018년 07월 24일","281.61","281.79","282.56","280.63","68.03M","0.50%"
"2018년 07월 23일","280.20","279.45","280.43","279.06","47.05M","0.19%"
"2018년 07월 20일","279.68","279.77","280.48","279.50","82.37M","-0.11%"
"2018년 07월 19일","280.00","280.31","280.74","279.46","61.41M","-0.38%"
"2018년 07월 18일","281.06","280.56","281.18","280.06","44.59M","0.21%"
"2018년 07월 17일","280.47","278.47","280.91","278.41","52.32M","0.40%"
"2018년 07월 16일","279.34","279.64","279.80","278.84","48.20M","-0.09%"
"2018년 07월 13일","279.59","279.17","279.93","278.66","48.23M","0.08%"
"2018년 07월 12일","279.37","278.28","279.43","277.60","60.12M","0.91%"
"2018년 07월 11일","276.86","277.15","278.04","276.52","77.05M","-0.73%"
"2018년 07월 10일","278.90","278.41","279.01","278.08","51.97M","0.36%"
"2018년 07월 09일","277.90","276.55","277.96","276.50","50.55M","0.90%"
"2018년 07월 06일","275.42","273.14","275.84","272.71","66.49M","0.85%"
"2018년 07월 05일","273.11","272.17","273.18","270.96","56.93M","0.82%"
"2018년 07월 03일","270.90","272.87","272.98","270.42","42.19M","-0.35%"
"2018년 07월 02일","271.86","269.51","272.04","269.24","63.55M","0.21%"
"2018년 06월 29일","271.28","272.12","273.66","271.15","97.59M","0.14%"
"2018년 06월 28일","270.89","269.29","271.75","268.49","76.65M","0.57%"
"2018년 06월 27일","269.35","272.26","273.87","269.18","105.11M","-0.83%"
"2018년 06월 26일","271.60","271.64","272.56","270.79","68.68M","0.22%"
"2018년 06월 25일","271.00","273.44","273.62","269.10","137.85M","-1.36%"
"2018년 06월 22일","274.74","275.66","275.79","274.49","56.61M","0.18%"
"2018년 06월 21일","274.24","275.96","275.98","273.68","71.06M","-0.63%"
"2018년 06월 20일","275.97","276.27","276.72","275.59","53.79M","0.17%"
"2018년 06월 19일","275.50","274.00","275.75","273.53","97.53M","-0.38%"
"2018년 06월 18일","276.56","275.49","276.70","274.95","52.92M","-0.21%"
"2018년 06월 15일","277.13","276.60","277.51","275.35","120.04M","-0.57%"
"2018년 06월 14일","278.73","279.01","279.33","278.06","77.10M","0.25%"
"2018년 06월 13일","278.03","279.19","279.48","277.80","79.07M","-0.32%"
"2018년 06월 12일","278.92","279.03","279.33","278.19","72.33M","0.13%"
"2018년 06월 11일","278.56","278.44","279.37","278.31","58.89M","0.13%"
"2018년 06월 08일","278.19","276.85","278.25","276.66","72.14M","0.30%"
"2018년 06월 07일","277.37","277.95","278.28","276.34","72.97M","-0.01%"
"2018년 06월 06일","277.40","275.79","277.52","275.09","62.73M","0.84%"
"2018년 06월 05일","275.10","275.05","275.53","274.18","51.14M","0.07%"
"2018년 06월 04일","274.90","274.53","275.19","274.26","45.39M","0.48%"
"2018년 06월 01일","273.60","272.41","273.94","272.33","71.26M","0.98%"
"2018년 05월 31일","270.94","272.15","272.49","270.25","93.52M","-0.61%"
"2018년 05월 30일","272.61","270.50","273.11","270.42","69.68M","1.33%"
"2018년 05월 29일","269.02","270.31","271.17","267.76","115.91M","-1.15%"
"2018년 05월 25일","272.15","272.15","272.86","271.58","56.37M","-0.24%"
"2018년 05월 24일","272.80","272.91","273.22","270.78","76.04M","-0.20%"
"2018년 05월 23일","273.36","271.17","273.39","270.99","64.69M","0.28%"
"2018년 05월 22일","272.61","273.96","274.25","272.24","52.97M","-0.28%"
"2018년 05월 21일","273.37","273.01","273.98","271.35","58.03M","0.75%"
"2018년 05월 18일","271.33","271.62","272.03","270.93","64.37M","-0.25%"
"2018년 05월 17일","272.01","271.94","273.23","271.13","56.54M","-0.08%"
"2018년 05월 16일","272.24","271.14","272.76","271.11","53.94M","0.42%"
"2018년 05월 15일","271.10","271.59","271.61","270.03","87.04M","-0.69%"
"2018년 05월 14일","272.98","273.34","274.08","272.36","54.79M","0.05%"
"2018년 05월 11일","272.85","272.16","273.15","271.58","59.87M","0.31%"
"2018년 05월 10일","272.02","270.34","272.39","270.22","72.06M","0.94%"
"2018년 05월 09일","269.50","267.68","269.87","267.09","59.67M","0.97%"
"2018년 05월 08일","266.92","266.50","267.32","265.15","67.50M","0.00%"
"2018년 05월 07일","266.92","266.89","268.02","266.11","55.30M","0.34%"
"2018년 05월 04일","266.02","261.52","266.79","261.15","91.22M","1.29%"
"2018년 05월 03일","262.62","262.26","263.36","259.05","136.31M","-0.22%"
"2018년 05월 02일","263.20","264.76","265.68","262.76","86.37M","-0.67%"
