"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2017년 11월 27일","260.23","260.41","260.75","260.00","52.27M","-0.05%"
"2017년 11월 24일","260.36","260.32","260.48","260.16","27.86M","0.23%"
"2017년 11월 22일","259.76","260.00","260.15","259.57","45.03M","-0.09%"
"2017년 11월 21일","259.99","259.18","260.20","258.26","69.18M","0.65%"
"2017년 11월 20일","258.30","258.14","258.52","257.86","48.08M","0.17%"
"2017년 11월 17일","257.86","258.22","258.59","257.77","75.76M","-0.29%"
"2017년 11월 16일","258.62","257.52","259.04","257.47","67.78M","0.85%"
"2017년 11월 15일","256.44","256.62","257.22","255.63","80.81M","-0.50%"
"2017년 11월 14일","257.73","257.41","257.85","256.52","61.32M","-0.23%"
"2017년 11월 13일","258.33","257.31","258.59","257.27","50.23M","0.09%"
"2017년 11월 10일","258.09","257.73","258.29","257.37","59.98M","-0.03%"
"2017년 11월 09일","258.17","257.73","258.39","256.36","95.09M","-0.36%"
"2017년 11월 08일","259.11","258.47","259.22","258.15","50.47M","0.17%"
"2017년 11월 07일","258.67","258.97","259.35","258.09","57.50M","-0.07%"
"2017년 11월 06일","258.85","258.30","259.00","258.22","49.65M","0.15%"
"2017년 11월 03일","258.45","257.77","258.50","257.30","59.59M","0.33%"
"2017년 11월 02일","257.59","257.41","257.75","256.19","56.45M","0.04%"
"2017년 11월 01일","257.49","258.04","258.43","257.07","54.20M","0.13%"
"2017년 10월 31일","257.15","257.18","257.44","256.81","60.30M","0.16%"
"2017년 10월 30일","256.75","257.07","257.60","256.41","54.29M","-0.37%"
"2017년 10월 27일","257.71","256.47","257.89","255.63","85.56M","0.82%"
"2017년 10월 26일","255.62","255.99","256.30","255.48","69.80M","0.13%"
"2017년 10월 25일","255.29","256.18","256.31","254.00","103.72M","-0.50%"
"2017년 10월 24일","256.56","256.60","256.83","256.15","66.94M","0.18%"
"2017년 10월 23일","256.11","257.48","257.51","256.02","63.92M","-0.39%"
"2017년 10월 20일","257.11","256.70","257.14","255.77","89.18M","0.52%"
"2017년 10월 19일","255.79","254.83","255.83","254.35","61.90M","0.03%"
"2017년 10월 18일","255.72","255.90","255.95","255.50","40.89M","0.10%"
"2017년 10월 17일","255.47","255.23","255.52","254.98","31.56M","0.07%"
"2017년 10월 16일","255.29","255.21","255.51","254.82","38.22M","0.13%"
"2017년 10월 13일","254.95","255.14","255.27","254.64","54.80M","0.12%"
"2017년 10월 12일","254.64","254.66","255.06","254.37","47.07M","-0.15%"
"2017년 10월 11일","255.02","254.51","255.02","254.32","47.67M","0.16%"
"2017년 10월 10일","254.62","254.60","255.05","253.98","43.06M","0.26%"
"2017년 10월 09일","253.95","254.63","254.70","253.65","35.80M","-0.17%"
"2017년 10월 06일","254.37","254.15","254.70","253.85","80.65M","-0.11%"
"2017년 10월 05일","254.66","253.54","254.68","253.20","63.52M","0.59%"
"2017년 10월 04일","253.16","252.69","253.44","252.56","55.95M","0.12%"
"2017년 10월 03일","252.86","252.46","252.89","252.23","66.81M","0.21%"
"2017년 10월 02일","252.32","251.49","252.32","251.29","59.02M","0.43%"
"2017년 09월 29일","251.23","250.34","251.32","250.13","85.58M","0.35%"
"2017년 09월 28일","250.35","249.73","250.44","249.63","44.78M","0.12%"
"2017년 09월 27일","250.05","249.88","250.49","248.87","81.00M","0.39%"
"2017년 09월 26일","249.08","249.42","249.70","248.81","54.08M","0.06%"
"2017년 09월 25일","248.93","249.15","249.55","248.08","57.06M","-0.20%"
"2017년 09월 22일","249.44","249.05","249.63","249.02","51.21M","0.02%"
"2017년 09월 21일","249.39","249.88","249.98","249.19","48.21M","-0.27%"
"2017년 09월 20일","250.06","250.07","250.19","248.92","59.57M","0.04%"
"2017년 09월 19일","249.97","250.00","250.07","249.60","47.11M","0.10%"
"2017년 09월 18일","249.72","249.61","250.12","249.28","46.24M","0.21%"
"2017년 09월 15일","249.19","248.69","249.29","248.57","95.43M","-0.36%"
"2017년 09월 14일","250.09","249.80","250.32","249.60","95.45M","-0.03%"
"2017년 09월 13일","250.17","249.72","250.21","249.59","59.23M","0.05%"
"2017년 09월 12일","250.05","249.63","250.09","249.42","56.90M","0.34%"
"2017년 09월 11일","249.21","248.04","249.30","248.02","71.36M","1.07%"
"2017년 09월 08일","246.58","246.54","247.11","246.30","63.83M","-0.12%"
"2017년 09월 07일","246.87","247.25","247.27","246.40","58.03M","-0.01%"
"2017년 09월 06일","246.90","246.84","247.28","246.23","57.92M","0.34%"
"2017년 09월 05일","246.06","247.26","247.52","244.95","91.40M","-0.72%"
"2017년 09월 01일","247.84","247.92","248.33","247.67","62.01M","0.14%"
"2017년 08월 31일","247.49","246.72","247.77","246.05","103.80M","0.60%"
"2017년 08월 30일","246.01","244.83","246.32","244.62","62.03M","0.47%"
"2017년 08월 29일","244.85","243.06","245.15","242.93","51.14M","0.11%"
"2017년 08월 28일","244.57","245.17","245.20","244.09","40.57M","0.00%"
"2017년 08월 25일","244.56","244.90","245.61","244.39","64.45M","0.23%"
"2017년 08월 24일","243.99","245.00","245.18","243.75","50.74M","-0.23%"
"2017년 08월 23일","244.56","244.33","245.05","244.16","50.20M","-0.36%"
"2017년 08월 22일","245.44","243.57","245.62","243.55","63.14M","1.05%"
"2017년 08월 21일","242.90","242.64","243.20","241.83","65.47M","0.08%"
"2017년 08월 18일","242.71","242.90","244.19","242.20","136.75M","-0.16%"
"2017년 08월 17일","243.09","246.24","246.60","243.09","128.49M","-1.56%"
"2017년 08월 16일","246.94","247.11","247.57","246.45","56.72M","0.17%"
"2017년 08월 15일","246.51","246.98","247.00","246.16","55.24M","-0.01%"
"2017년 08월 14일","246.54","245.59","246.79","245.55","73.29M","0.99%"
"2017년 08월 11일","244.12","244.02","244.80","243.75","74.87M","0.15%"
"2017년 08월 10일","243.76","246.29","246.44","243.70","120.48M","-1.41%"
"2017년 08월 09일","247.25","246.47","247.31","246.06","62.63M","-0.00%"
"2017년 08월 08일","247.26","247.51","248.91","246.83","61.72M","-0.25%"
"2017년 08월 07일","247.87","247.49","247.87","247.37","32.00M","0.19%"
"2017년 08월 04일","247.41","247.52","247.79","246.97","60.19M","0.18%"
"2017년 08월 03일","246.96","247.31","247.34","246.64","40.86M","-0.19%"
"2017년 08월 02일","247.44","247.47","247.60","246.37","47.21M","0.05%"
"2017년 08월 01일","247.32","247.46","247.50","246.72","55.05M","0.22%"
"2017년 07월 31일","246.77","247.37","247.48","246.53","65.84M","-0.06%"
"2017년 07월 28일","246.91","246.65","247.06","246.13","50.09M","-0.12%"
"2017년 07월 27일","247.20","247.96","248.00","245.68","70.77M","-0.09%"
"2017년 07월 26일","247.43","247.75","247.79","247.13","47.58M","0.00%"
"2017년 07월 25일","247.42","247.68","247.80","247.16","54.92M","0.24%"
"2017년 07월 24일","246.82","246.79","246.98","246.28","46.62M","-0.02%"
"2017년 07월 21일","246.88","246.44","246.91","246.18","88.71M","-0.09%"
"2017년 07월 20일","247.10","247.28","247.42","246.47","47.14M","0.04%"
"2017년 07월 19일","246.99","246.02","247.00","246.01","51.03M","0.54%"
"2017년 07월 18일","245.66","245.06","245.72","244.67","42.74M","0.05%"
"2017년 07월 17일","245.53","245.47","245.91","245.33","33.53M","-0.01%"
"2017년 07월 14일","245.56","244.43","245.97","244.31","60.26M","0.47%"
"2017년 07월 13일","244.42","244.02","244.55","243.76","39.47M","0.17%"
"2017년 07월 12일","244.01","243.30","244.20","243.30","59.61M","0.75%"
"2017년 07월 11일","242.19","242.16","242.55","240.85","50.35M","-0.07%"
"2017년 07월 10일","242.37","241.95","242.80","241.76","36.66M","0.11%"
"2017년 07월 07일","242.11","241.21","242.28","240.56","57.97M","0.65%"
"2017년 07월 06일","240.55","241.89","242.03","240.34","66.12M","-0.91%"
"2017년 07월 05일","242.77","242.63","243.01","241.70","54.43M","0.23%"
"2017년 07월 03일","242.21","242.88","243.38","242.21","39.15M","0.17%"
"2017년 06월 30일","241.80","242.28","242.71","241.57","86.82M","0.19%"
"2017년 06월 29일","241.35","243.66","243.72","239.96","106.95M","-0.88%"
"2017년 06월 28일","243.49","242.50","243.72","242.23","70.04M","0.90%"
"2017년 06월 27일","241.33","243.04","243.38","241.31","82.25M","-0.81%"
"2017년 06월 26일","243.29","243.90","244.38","243.04","56.70M","0.07%"
"2017년 06월 23일","243.13","242.91","243.51","242.47","66.99M","0.12%"
"2017년 06월 22일","242.84","242.96","243.53","242.64","44.15M","-0.05%"
"2017년 06월 21일","242.95","243.42","243.59","242.41","55.98M","-0.02%"
"2017년 06월 20일","243.01","244.25","244.26","242.99","56.91M","-0.67%"
"2017년 06월 19일","244.66","243.59","244.73","243.48","65.12M","0.83%"
"2017년 06월 16일","242.64","242.77","242.83","241.63","84.55M","-0.46%"
"2017년 06월 15일","243.77","242.68","243.91","242.36","66.46M","-0.19%"
"2017년 06월 14일","244.24","244.86","244.87","243.29","78.60M","-0.13%"
"2017년 06월 13일","244.55","243.98","244.61","243.58","60.07M","0.49%"
"2017년 06월 12일","243.36","243.13","243.42","242.38","86.11M","-0.02%"
"2017년 06월 09일","243.41","244.09","245.01","241.95","132.26M","-0.15%"
"2017년 06월 08일","243.78","243.77","244.33","243.17","65.95M","0.05%"
"2017년 06월 07일","243.66","243.60","243.92","242.83","54.14M","0.19%"
"2017년 06월 06일","243.21","243.34","243.98","243.12","50.38M","-0.32%"
"2017년 06월 05일","243.99","243.97","244.30","243.76","44.70M","-0.07%"
"2017년 06월 02일","244.17","243.42","244.35","243.08","88.67M","0.33%"
"2017년 06월 01일","243.36","241.97","243.38","241.64","68.96M","0.80%"
"2017년 05월 31일","241.44","241.84","241.88","240.64","91.80M","-0.02%"
"2017년 05월 30일","241.50","241.34","241.79","241.16","35.20M","-0.09%"
"2017년 05월 26일","241.71","241.54","241.90","241.45","46.63M","-0.02%"
"2017년 05월 25일","241.76","241.20","242.08","240.96","64.07M","0.48%"
"2017년 05월 24일","240.61","240.32","240.73","239.93","49.18M","0.23%"
"2017년 05월 23일","240.05","239.95","240.24","239.51","48.34M","0.22%"
"2017년 05월 22일","239.52","238.90","239.71","238.82","61.01M","0.51%"
"2017년 05월 19일","238.31","237.33","239.08","237.27","115.01M","0.65%"
"2017년 05월 18일","236.77","235.73","237.75","235.43","107.05M","0.40%"
"2017년 05월 17일","235.82","238.10","238.64","235.75","172.17M","-1.77%"
"2017년 05월 16일","240.08","240.64","240.67","239.63","51.24M","-0.09%"
"2017년 05월 15일","240.30","239.47","240.44","239.45","61.92M","0.55%"
"2017년 05월 12일","238.98","239.09","239.43","238.67","53.91M","-0.17%"
"2017년 05월 11일","239.38","239.35","239.57","238.13","62.36M","-0.20%"
"2017년 05월 10일","239.87","239.39","239.87","239.15","54.29M","0.18%"
"2017년 05월 09일","239.44","239.96","240.19","239.04","51.36M","-0.09%"
"2017년 05월 08일","239.66","239.75","239.92","239.17","48.39M","-0.02%"
"2017년 05월 05일","239.70","239.19","239.72","238.68","62.00M","0.39%"
"2017년 05월 04일","238.76","238.83","238.92","237.78","61.46M","0.12%"
"2017년 05월 03일","238.48","238.29","238.88","237.70","73.14M","-0.12%"
"2017년 05월 02일","238.77","238.84","238.98","238.30","57.38M","0.04%"
"2017년 05월 01일","238.68","238.68","239.17","238.19","66.88M","0.25%"
"2017년 04월 28일","238.08","238.90","238.93","237.93","63.53M","-0.22%"
"2017년 04월 27일","238.60","238.77","238.95","237.98","57.41M","0.08%"
"2017년 04월 26일","238.40","238.51","239.53","238.35","84.70M","-0.06%"
"2017년 04월 25일","238.55","237.91","238.95","237.81","76.70M","0.58%"
"2017년 04월 24일","237.17","237.18","237.41","234.56","119.21M","1.10%"
"2017년 04월 21일","234.59","235.25","235.31","234.13","110.39M","-0.32%"
"2017년 04월 20일","235.34","234.15","235.84","233.78","92.57M","0.81%"
"2017년 04월 19일","233.44","234.52","234.95","233.18","68.70M","-0.18%"
"2017년 04월 18일","233.87","233.72","234.49","233.08","83.23M","-0.30%"
"2017년 04월 17일","234.57","233.11","234.57","232.88","68.41M","0.89%"
"2017년 04월 13일","232.51","233.64","234.49","232.51","92.88M","-0.65%"
"2017년 04월 12일","234.03","234.74","234.96","233.77","81.86M","-0.44%"
"2017년 04월 11일","235.06","234.90","235.18","233.34","88.05M","-0.12%"
"2017년 04월 10일","235.34","235.36","236.25","234.73","67.62M","0.06%"
"2017년 04월 07일","235.20","235.15","236.00","234.64","74.41M","-0.10%"
"2017년 04월 06일","235.44","234.94","236.04","234.43","69.14M","0.28%"
"2017년 04월 05일","234.78","236.26","237.39","234.54","108.80M","-0.30%"
"2017년 04월 04일","235.48","235.00","235.58","234.56","56.47M","0.06%"
"2017년 04월 03일","235.33","235.80","236.03","233.91","85.55M","-0.17%"
"2017년 03월 31일","235.74","235.90","236.51","235.68","73.73M","-0.23%"
"2017년 03월 30일","236.29","235.47","236.52","235.27","56.74M","0.32%"
"2017년 03월 29일","235.54","234.99","235.81","234.72","61.95M","0.09%"
"2017년 03월 28일","235.32","233.27","235.81","233.14","93.48M","0.73%"
"2017년 03월 27일","233.62","231.93","233.92","231.61","87.45M","-0.10%"
"2017년 03월 24일","233.86","234.38","235.04","232.96","112.50M","-0.07%"
"2017년 03월 23일","234.03","234.00","235.34","233.60","100.41M","-0.11%"
"2017년 03월 22일","234.28","233.77","234.61","233.05","97.57M","0.24%"
"2017년 03월 21일","233.73","237.47","237.61","233.58","131.81M","-1.28%"
"2017년 03월 20일","236.77","237.03","237.36","236.32","52.54M","-0.11%"
"2017년 03월 17일","237.03","237.75","237.97","237.03","89.00M","-0.61%"
"2017년 03월 16일","238.48","239.11","239.20","238.10","78.34M","-0.20%"
"2017년 03월 15일","238.95","237.56","239.44","237.29","96.08M","0.87%"
"2017년 03월 14일","236.90","237.18","237.24","236.19","59.88M","-0.38%"
"2017년 03월 13일","237.81","237.62","237.86","237.24","57.26M","0.05%"
"2017년 03월 10일","237.69","237.97","238.02","236.59","81.99M","0.35%"
"2017년 03월 09일","236.86","236.70","237.24","235.74","90.68M","0.13%"
"2017년 03월 08일","236.56","237.34","237.64","236.40","78.17M","-0.19%"
"2017년 03월 07일","237.00","237.36","237.77","236.76","65.10M","-0.30%"
"2017년 03월 06일","237.71","237.50","238.12","237.01","55.39M","-0.30%"
"2017년 03월 03일","238.42","238.17","238.61","237.73","81.97M","0.06%"
"2017년 03월 02일","238.27","239.56","239.57","238.21","70.25M","-0.63%"
"2017년 03월 01일","239.78","238.39","240.32","238.37","149.16M","1.40%"
"2017년 02월 28일","236.47","236.67","236.95","236.01","96.96M","-0.27%"
"2017년 02월 27일","237.11","236.64","237.31","236.35","56.52M","0.16%"
"2017년 02월 24일","236.74","235.46","236.79","235.41","82.38M","0.13%"
"2017년 02월 23일","236.44","236.88","236.90","235.56","74.62M","0.07%"
"2017년 02월 22일","236.28","236.02","236.54","235.83","62.12M","-0.09%"
"2017년 02월 21일","236.49","235.52","236.69","235.51","88.95M","0.60%"
"2017년 02월 17일","235.09","233.95","235.09","233.93","77.20M","0.16%"
"2017년 02월 16일","234.72","234.96","235.16","233.85","84.72M","-0.09%"
"2017년 02월 15일","234.92","233.45","235.14","233.39","86.79M","0.52%"
"2017년 02월 14일","233.70","232.56","233.71","232.16","71.11M","0.40%"
"2017년 02월 13일","232.77","232.08","233.07","232.05","55.18M","0.54%"
"2017년 02월 10일","231.51","231.00","231.77","230.62","66.02M","0.39%"
"2017년 02월 09일","230.60","229.56","230.95","229.52","65.96M","0.59%"
"2017년 02월 08일","229.24","228.61","229.39","228.31","51.57M","0.13%"
"2017년 02월 07일","228.94","229.38","229.66","228.72","57.93M","0.00%"
"2017년 02월 06일","228.93","228.87","229.33","228.54","57.79M","-0.18%"
"2017년 02월 03일","229.34","228.82","229.55","228.46","80.56M","0.69%"
"2017년 02월 02일","227.77","227.20","228.10","226.82","69.66M","0.07%"
"2017년 02월 01일","227.62","228.25","228.59","226.94","79.12M","0.04%"
"2017년 01월 31일","227.53","226.98","227.60","226.32","75.88M","-0.01%"
"2017년 01월 30일","227.55","228.17","228.20","226.41","79.74M","-0.62%"
"2017년 01월 27일","228.97","229.42","229.59","228.76","59.71M","-0.16%"
"2017년 01월 26일","229.33","229.40","229.71","229.01","59.97M","-0.10%"
"2017년 01월 25일","229.57","228.70","229.57","228.51","84.44M","0.87%"
"2017년 01월 24일","227.60","226.40","228.08","226.27","95.56M","0.64%"
"2017년 01월 23일","226.15","226.35","226.81","225.27","75.06M","-0.26%"
"2017년 01월 20일","226.74","226.70","227.31","225.97","129.17M","0.37%"
"2017년 01월 19일","225.91","226.84","227.00","225.41","66.61M","-0.37%"
"2017년 01월 18일","226.75","226.53","226.80","225.90","54.79M","0.22%"
"2017년 01월 17일","226.25","226.31","226.78","225.80","61.24M","-0.35%"
"2017년 01월 13일","227.05","226.73","227.40","226.69","62.72M","0.23%"
"2017년 01월 12일","226.53","226.50","226.75","224.96","72.11M","-0.25%"
"2017년 01월 11일","227.10","226.36","227.10","225.59","74.65M","0.28%"
"2017년 01월 10일","226.46","226.48","227.45","226.01","63.77M","0.00%"
"2017년 01월 09일","226.46","226.91","227.07","226.42","46.94M","-0.33%"
"2017년 01월 06일","227.21","226.53","227.75","225.90","71.56M","0.36%"
"2017년 01월 05일","226.40","226.27","226.58","225.48","78.38M","-0.08%"
"2017년 01월 04일","226.58","225.62","226.75","225.61","78.74M","0.59%"
"2017년 01월 03일","225.24","225.04","225.83","223.88","91.37M","0.77%"
"2016년 12월 30일","223.53","224.73","224.83","222.73","109.00M","-0.37%"
"2016년 12월 29일","224.35","224.48","224.89","223.84","48.70M","-0.02%"
"2016년 12월 28일","224.40","226.57","226.59","224.27","64.10M","-0.83%"
"2016년 12월 27일","226.27","226.02","226.73","226.00","42.67M","0.25%"
"2016년 12월 23일","225.71","225.43","225.72","225.21","36.70M","0.15%"
"2016년 12월 22일","225.38","225.60","225.74","224.92","56.22M","-0.17%"
"2016년 12월 21일","225.77","226.25","226.45","225.77","67.91M","-0.28%"
"2016년 12월 20일","226.40","226.15","226.57","225.88","89.84M","0.39%"
"2016년 12월 19일","225.53","225.25","226.02","225.08","90.34M","0.22%"
"2016년 12월 16일","225.04","226.01","226.08","224.67","156.42M","-0.78%"
"2016년 12월 15일","226.81","226.16","227.81","225.89","124.97M","0.41%"
"2016년 12월 14일","225.88","227.41","228.23","225.37","142.50M","-0.83%"
"2016년 12월 13일","227.76","227.02","228.34","227.00","110.48M","0.67%"
"2016년 12월 12일","226.25","226.40","226.96","225.76","102.02M","-0.11%"
"2016년 12월 09일","226.51","225.41","226.53","225.37","88.01M","0.60%"
"2016년 12월 08일","225.15","224.57","225.70","224.26","99.71M","0.24%"
"2016년 12월 07일","224.60","221.52","224.67","221.38","110.74M","1.31%"
"2016년 12월 06일","221.70","221.22","221.74","220.66","59.88M","0.32%"
"2016년 12월 05일","221.00","220.65","221.40","220.42","67.84M","0.60%"
"2016년 12월 02일","219.68","219.67","220.25","219.26","74.84M","0.05%"
"2016년 12월 01일","219.57","220.73","220.73","219.15","79.04M","-0.37%"
"2016년 11월 30일","220.38","221.63","221.82","220.31","113.29M","-0.24%"
"2016년 11월 29일","220.91","220.52","221.44","220.17","69.89M","0.20%"
"2016년 11월 28일","220.48","221.16","221.48","220.36","76.57M","-0.47%"
"2016년 11월 25일","221.52","221.10","221.56","221.01","37.87M","0.37%"
"2016년 11월 23일","220.70","219.98","220.76","219.75","56.62M","0.05%"
"2016년 11월 22일","220.58","220.51","220.79","219.73","67.43M","0.20%"
"2016년 11월 21일","220.15","219.17","220.18","219.00","72.40M","0.76%"
"2016년 11월 18일","218.50","219.07","219.27","218.29","86.27M","-0.22%"
"2016년 11월 17일","218.99","218.05","219.06","217.92","69.80M","0.51%"
"2016년 11월 16일","217.87","217.56","218.14","217.42","65.62M","-0.19%"
"2016년 11월 15일","218.28","217.04","218.28","216.80","91.65M","0.78%"
"2016년 11월 14일","216.59","217.03","217.27","215.72","94.58M","0.08%"
"2016년 11월 11일","216.42","216.08","216.70","215.32","100.55M","-0.23%"
"2016년 11월 10일","216.92","217.30","218.31","215.22","172.11M","0.25%"
"2016년 11월 09일","216.38","212.37","217.10","212.34","258.43M","1.06%"
"2016년 11월 08일","214.11","212.69","214.77","212.38","106.77M","0.45%"
"2016년 11월 07일","213.15","211.45","213.19","211.30","109.79M","2.21%"
"2016년 11월 04일","208.55","208.91","209.89","208.38","109.12M","-0.11%"
"2016년 11월 03일","208.78","209.99","210.24","208.46","88.94M","-0.46%"
"2016년 11월 02일","209.74","210.65","211.10","209.23","103.33M","-0.60%"
"2016년 11월 01일","211.01","212.93","212.99","209.60","122.78M","-0.72%"
"2016년 10월 31일","212.55","212.93","213.19","212.36","61.27M","0.00%"
"2016년 10월 28일","212.54","213.14","213.93","211.71","140.62M","-0.30%"
"2016년 10월 27일","213.17","214.58","214.62","213.08","77.22M","-0.27%"
"2016년 10월 26일","213.74","213.21","214.42","212.93","75.71M","-0.20%"
"2016년 10월 25일","214.17","214.68","214.98","213.98","66.54M","-0.34%"
"2016년 10월 24일","214.89","215.00","215.32","214.48","60.15M","0.43%"
"2016년 10월 21일","213.98","212.96","214.08","212.76","89.09M","0.05%"
"2016년 10월 20일","213.88","213.87","214.53","213.11","73.64M","-0.19%"
"2016년 10월 19일","214.28","214.02","214.64","213.60","66.52M","0.27%"
"2016년 10월 18일","213.71","214.24","214.31","213.27","76.87M","0.63%"
"2016년 10월 17일","212.38","213.09","213.39","212.17","58.28M","-0.35%"
"2016년 10월 14일","213.12","214.15","214.69","213.03","93.35M","0.05%"
"2016년 10월 13일","213.01","212.16","213.59","211.21","101.36M","-0.33%"
"2016년 10월 12일","213.71","213.59","214.32","213.01","73.87M","0.13%"
"2016년 10월 11일","213.43","215.66","215.74","212.58","130.37M","-1.26%"
"2016년 10월 10일","216.16","216.16","216.70","215.99","51.86M","0.52%"
"2016년 10월 07일","215.04","216.10","216.30","214.19","89.79M","-0.34%"
"2016년 10월 06일","215.78","215.37","216.04","214.74","62.93M","0.07%"
"2016년 10월 05일","215.63","215.41","216.13","215.33","72.82M","0.44%"
"2016년 10월 04일","214.68","215.91","216.17","213.99","119.95M","-0.51%"
"2016년 10월 03일","215.78","215.82","216.04","215.04","83.51M","-0.24%"
"2016년 09월 30일","216.30","215.65","217.12","215.36","117.20M","0.75%"
"2016년 09월 29일","214.68","216.40","216.87","214.04","128.07M","-0.90%"
"2016년 09월 28일","216.64","215.83","216.82","214.71","87.41M","0.50%"
"2016년 09월 27일","215.57","214.05","215.68","213.62","78.49M","0.62%"
"2016년 09월 26일","214.24","215.02","215.23","214.01","89.83M","-0.81%"
"2016년 09월 23일","215.99","216.72","216.88","215.88","73.63M","-0.55%"
"2016년 09월 22일","217.18","217.00","217.53","216.71","76.68M","0.63%"
"2016년 09월 21일","215.82","214.24","216.03","213.44","110.28M","1.12%"
"2016년 09월 20일","213.42","214.41","214.59","213.38","69.67M","0.00%"
"2016년 09월 19일","213.41","214.13","214.88","213.03","80.25M","0.02%"
"2016년 09월 16일","213.37","213.48","213.69","212.57","155.24M","-0.89%"
"2016년 09월 15일","215.28","212.96","215.73","212.75","145.74M","1.00%"
"2016년 09월 14일","213.15","213.29","214.70","212.50","134.19M","-0.04%"
"2016년 09월 13일","213.23","214.84","215.15","212.50","182.83M","-1.44%"
"2016년 09월 12일","216.34","212.39","216.81","212.31","168.11M","1.43%"
"2016년 09월 09일","213.28","216.97","217.03","213.25","221.59M","-2.39%"
"2016년 09월 08일","218.51","218.62","218.94","218.15","74.10M","-0.23%"
"2016년 09월 07일","219.01","218.84","219.22","218.30","76.55M","-0.01%"
"2016년 09월 06일","219.03","218.70","219.12","217.86","56.70M","0.30%"
"2016년 09월 02일","218.37","218.39","218.87","217.70","79.29M","0.45%"
"2016년 09월 01일","217.39","217.37","217.73","216.03","97.84M","0.00%"
"2016년 08월 31일","217.38","217.61","217.75","216.47","85.27M","-0.28%"
"2016년 08월 30일","218.00","218.26","218.59","217.35","58.11M","-0.16%"
"2016년 08월 29일","218.36","217.44","218.66","217.40","70.50M","0.49%"
"2016년 08월 26일","217.29","217.92","219.12","216.25","122.51M","-0.19%"
"2016년 08월 25일","217.70","217.40","218.19","217.22","69.22M","-0.07%"
"2016년 08월 24일","217.85","218.80","218.91","217.36","71.73M","-0.51%"
"2016년 08월 23일","218.97","219.25","219.60","218.90","53.40M","0.20%"
"2016년 08월 22일","218.53","218.26","218.80","217.83","61.37M","-0.00%"
"2016년 08월 19일","218.54","218.31","218.75","217.74","75.44M","-0.15%"
"2016년 08월 18일","218.86","218.34","218.90","218.21","52.99M","0.22%"
"2016년 08월 17일","218.37","218.00","218.53","217.02","75.13M","0.19%"
"2016년 08월 16일","217.96","218.60","218.68","217.96","53.21M","-0.52%"
"2016년 08월 15일","219.09","218.89","219.50","218.88","49.81M","0.29%"
"2016년 08월 12일","218.46","218.29","218.71","217.99","61.31M","-0.09%"
"2016년 08월 11일","218.65","218.26","218.94","217.95","72.50M","0.46%"
"2016년 08월 10일","217.64","218.31","218.40","217.23","57.94M","-0.25%"
"2016년 08월 09일","218.18","218.13","218.76","217.80","51.25M","0.06%"
"2016년 08월 08일","218.05","218.40","218.52","217.74","39.91M","-0.06%"
"2016년 08월 05일","218.18","217.21","218.23","217.07","71.89M","0.82%"
"2016년 08월 04일","216.41","216.31","216.78","214.25","46.59M","0.11%"
"2016년 08월 03일","216.18","215.48","216.25","215.13","53.99M","0.29%"
"2016년 08월 02일","215.55","216.65","216.83","214.57","92.30M","-0.64%"
"2016년 08월 01일","216.94","217.19","217.65","216.41","73.31M","-0.08%"
"2016년 07월 29일","217.12","216.46","217.54","216.13","79.52M","0.16%"
"2016년 07월 28일","216.77","216.29","217.11","215.75","65.04M","0.12%"
"2016년 07월 27일","216.52","217.19","217.27","215.62","84.08M","-0.11%"
"2016년 07월 26일","216.75","216.53","217.17","215.76","70.08M","0.05%"
"2016년 07월 25일","216.65","217.00","217.06","215.97","55.87M","-0.27%"
"2016년 07월 22일","217.24","216.41","217.30","216.10","62.79M","0.45%"
"2016년 07월 21일","216.26","216.96","217.22","215.75","67.78M","-0.38%"
"2016년 07월 20일","217.09","216.75","217.37","216.24","58.16M","0.42%"
"2016년 07월 19일","216.19","215.92","216.23","215.63","54.35M","-0.10%"
"2016년 07월 18일","216.41","215.97","216.60","215.67","58.73M","0.27%"
"2016년 07월 15일","215.83","216.78","217.01","215.31","107.16M","-0.13%"
"2016년 07월 14일","216.12","216.40","216.67","215.66","91.23M","0.56%"
"2016년 07월 13일","214.92","215.44","215.45","214.35","87.32M","-0.01%"
"2016년 07월 12일","214.95","214.53","215.30","213.43","101.28M","0.73%"
"2016년 07월 11일","213.40","213.19","214.07","212.95","73.63M","0.35%"
"2016년 07월 08일","212.65","211.05","212.94","210.78","133.97M","1.49%"
"2016년 07월 07일","209.53","209.87","210.65","208.63","85.59M","-0.06%"
"2016년 07월 06일","209.66","207.83","209.80","207.06","96.02M","0.60%"
"2016년 07월 05일","208.41","208.95","209.08","207.71","109.80M","-0.72%"
"2016년 07월 01일","209.92","209.36","210.49","209.29","106.06M","0.21%"
"2016년 06월 30일","209.47","207.21","209.54","206.56","165.02M","1.36%"
"2016년 06월 29일","206.66","204.84","206.93","204.72","137.33M","1.70%"
"2016년 06월 28일","203.20","201.48","203.23","201.12","159.38M","1.80%"
"2016년 06월 27일","199.60","201.59","201.60","198.65","248.99M","-1.74%"
"2016년 06월 24일","203.13","203.63","210.85","202.72","333.44M","-3.64%"
"2016년 06월 23일","210.81","209.81","210.87","209.27","102.73M","1.30%"
"2016년 06월 22일","208.10","208.65","209.50","207.93","95.56M","-0.16%"
"2016년 06월 21일","208.44","208.30","208.92","207.78","72.46M","0.28%"
