43434,275.65,273.81,276.28,273.45,98.20M,0.0061
43433,273.98,273.71,275.55,272.43,82.35M,-0.0022
43432,274.58,269.6,274.58,268.33,127.63M,0.023
43431,268.4,266.34,268.4,265.66,75.50M,0.0034
43430,267.5,265.78,267.75,265.34,79.98M,0.0161
43427,263.25,263.18,264.82,263.07,42.81M,-0.0067
43425,265.02,265.86,267.15,265.01,75.56M,0.0034
43424,264.12,265.36,267,263.15,136.02M,-0.0185
43423,269.1,273.05,273.38,268.07,103.06M,-0.0169
43420,273.73,271.79,274.75,271.21,126.67M,0.0026
43419,273.02,268.78,273.54,267.01,135.10M,0.0104
43418,270.2,274.16,274.61,268.45,125.34M,-0.0068
43417,272.06,273.09,275.32,271.25,98.18M,-0.0019
43416,272.57,277.19,277.46,271.99,99.67M,-0.0187
43413,277.76,279.03,279.24,276.18,98.81M,-0.0098
43412,280.5,280.11,281.22,279.22,65.58M,-0.0018
43411,281.01,277.56,281.1,277.08,102.75M,0.0214
43410,275.12,273.32,275.3,273.25,60.09M,0.0063
43409,273.39,272.44,274.01,271.35,65.62M,0.0055
43406,271.89,274.75,275.23,269.59,122.63M,-0.0059
43405,273.51,271.6,273.73,270.38,99.50M,0.0106
43404,270.63,270.65,273.23,270.12,128.30M,0.0107
43403,267.77,263.67,268.12,263.12,157.12M,0.0148
43402,263.86,268.8,270.25,259.85,160.75M,-0.0055
43399,265.33,265.92,271,262.29,201.57M,-0.0176
43398,270.08,267.38,271.81,266.23,138.06M,0.0179
43397,265.32,273.33,273.76,264.7,177.81M,-0.0303
43396,273.61,270.95,274.87,268.61,146.35M,-0.0051
43395,275.01,277,277.36,274.41,82.42M,-0.0045
43392,276.25,277.13,279.3,275.47,139.90M,-0.0005
43391,276.4,279.4,280.07,274.97,134.56M,-0.0144
43390,280.45,280.44,281.15,277.56,110.63M,0.0002
43389,280.4,276.6,280.82,276.07,118.26M,0.0219
43388,274.4,275.55,277.04,274.3,102.26M,-0.0056
43385,275.95,276.77,277.09,272.37,183.19M,0.0139
43384,272.17,277.08,278.9,270.36,274.84M,-0.022
43383,278.3,286.83,286.91,277.88,214.73M,-0.0317
43382,287.4,287.39,288.86,286.77,74.34M,-0.0015
43381,287.82,287.05,288.22,285.5,87.74M,0
43378,287.82,289.69,290.27,286.22,105.95M,-0.0056
43377,289.44,291.18,291.24,287.66,111.55M,-0.0078
43376,291.72,292.74,293.21,291.32,64.69M,0.0005
43375,291.56,291.56,292.36,291.14,47.26M,-0.0006
43374,291.73,292.11,292.93,290.98,62.08M,0.0035
43371,290.72,289.99,291.28,289.95,70.09M,0.0001
43370,290.69,290.41,291.91,290.1,59.25M,0.0028
43369,289.88,290.91,292.24,289.41,79.74M,-0.003
43368,290.75,291.53,291.65,290.48,44.37M,-0.0009
43367,291.02,291.34,291.5,290.37,53.41M,-0.0033
43364,291.99,293.09,293.22,291.81,105.48M,-0.0054
43363,293.58,292.64,293.94,291.24,100.36M,0.0081
43362,291.22,290.97,291.69,290.82,49.08M,0.0011
43361,290.91,289.58,291.58,289.55,61.93M,0.0054
43360,289.34,290.82,290.86,289.03,68.24M,-0.0053
43357,290.88,291.06,291.27,290,55.08M,0.0002
43356,290.83,290.32,291.04,290,51.03M,0.0059
43355,289.12,289.06,289.8,288.23,59.81M,0.0002
43354,289.05,287.37,289.55,286.98,50.53M,0.0033
43353,288.1,288.74,289.04,287.88,50.21M,0.0017
43350,287.6,286.98,288.7,286.71,73.52M,-0.0019
43349,288.16,289.15,289.49,287,65.91M,-0.003
43348,289.03,289.41,289.64,287.89,72.45M,-0.0027
43347,289.81,289.84,290.21,288.68,57.59M,-0.0017
43343,290.31,289.84,290.81,289.29,66.14M,0
43342,290.3,290.94,291.36,289.63,61.23M,-0.004
43341,291.48,290.16,291.74,289.89,61.49M,0.0054
43340,289.92,290.3,290.42,289.4,46.94M,0.0005
43339,289.78,288.86,289.9,288.68,57.07M,0.0079
43336,287.51,286.44,287.67,286.38,57.49M,0.006
43335,285.79,285.97,286.94,285.43,49.20M,-0.0013
43334,286.17,285.88,286.76,285.57,44.99M,-0.0006
43333,286.34,286.25,287.31,285.71,67.27M,0.0023
43332,285.67,285.57,285.97,285.06,39.81M,0.0021
43329,285.06,283.83,285.56,283.37,65.62M,0.0035
43328,284.06,283.4,285.04,283.36,69.97M,0.0081
43327,281.78,282.38,282.54,280.16,102.93M,-0.0075
43326,283.9,282.92,284.17,282.48,43.84M,0.0064
43325,282.1,283.47,284.16,281.77,65.73M,-0.0037
43322,283.16,283.45,284.06,282.36,77.08M,-0.0067
43321,285.07,285.53,285.97,284.92,35.72M,-0.0014
43320,285.46,285.39,285.91,284.94,42.11M,-0.0004
43319,285.58,285.39,286.01,285.24,43.20M,0.0033
43318,284.64,283.64,284.99,283.2,39.40M,0.0037
43315,283.6,282.53,283.66,282.33,53.94M,0.0043
43314,282.39,279.39,282.58,279.16,63.43M,0.0054
43313,280.86,281.56,282.13,280.13,53.85M,-0.0017
43312,281.33,280.81,282.02,280.38,68.57M,0.0049
43311,279.95,281.51,281.69,279.36,63.74M,-0.0052
43308,281.42,283.71,283.82,280.38,76.78M,-0.0068
43307,283.34,283.2,284.11,283.09,57.92M,-0.0024
43306,284.01,281.33,284.37,281.28,78.88M,0.0085
43305,281.61,281.79,282.56,280.63,68.03M,0.005
43304,280.2,279.45,280.43,279.06,47.05M,0.0019
43301,279.68,279.77,280.48,279.5,82.37M,-0.0011
43300,280,280.31,280.74,279.46,61.41M,-0.0038
43299,281.06,280.56,281.18,280.06,44.59M,0.0021
43298,280.47,278.47,280.91,278.41,52.32M,0.004
43297,279.34,279.64,279.8,278.84,48.20M,-0.0009
43294,279.59,279.17,279.93,278.66,48.23M,0.0008
43293,279.37,278.28,279.43,277.6,60.12M,0.0091
43292,276.86,277.15,278.04,276.52,77.05M,-0.0073
43291,278.9,278.41,279.01,278.08,51.97M,0.0036
43290,277.9,276.55,277.96,276.5,50.55M,0.009
43287,275.42,273.14,275.84,272.71,66.49M,0.0085
43286,273.11,272.17,273.18,270.96,56.93M,0.0082
43284,270.9,272.87,272.98,270.42,42.19M,-0.0035
43283,271.86,269.51,272.04,269.24,63.55M,0.0021
43280,271.28,272.12,273.66,271.15,97.59M,0.0014
43279,270.89,269.29,271.75,268.49,76.65M,0.0057
43278,269.35,272.26,273.87,269.18,105.11M,-0.0083
43277,271.6,271.64,272.56,270.79,68.68M,0.0022
43276,271,273.44,273.62,269.1,137.85M,-0.0136
43273,274.74,275.66,275.79,274.49,56.61M,0.0018
43272,274.24,275.96,275.98,273.68,71.06M,-0.0063
43271,275.97,276.27,276.72,275.59,53.79M,0.0017
43270,275.5,274,275.75,273.53,97.53M,-0.0038
43269,276.56,275.49,276.7,274.95,52.92M,-0.0021
43266,277.13,276.6,277.51,275.35,120.04M,-0.0057
43265,278.73,279.01,279.33,278.06,77.10M,0.0025
43264,278.03,279.19,279.48,277.8,79.07M,-0.0032
43263,278.92,279.03,279.33,278.19,72.33M,0.0013
43262,278.56,278.44,279.37,278.31,58.89M,0.0013
43259,278.19,276.85,278.25,276.66,72.14M,0.003
43258,277.37,277.95,278.28,276.34,72.97M,-0.0001
43257,277.4,275.79,277.52,275.09,62.73M,0.0084
43256,275.1,275.05,275.53,274.18,51.14M,0.0007
43255,274.9,274.53,275.19,274.26,45.39M,0.0048
43252,273.6,272.41,273.94,272.33,71.26M,0.0098
43251,270.94,272.15,272.49,270.25,93.52M,-0.0061
43250,272.61,270.5,273.11,270.42,69.68M,0.0133
43249,269.02,270.31,271.17,267.76,115.91M,-0.0115
43245,272.15,272.15,272.86,271.58,56.37M,-0.0024
43244,272.8,272.91,273.22,270.78,76.04M,-0.002
43243,273.36,271.17,273.39,270.99,64.69M,0.0028
43242,272.61,273.96,274.25,272.24,52.97M,-0.0028
43241,273.37,273.01,273.98,271.35,58.03M,0.0075
43238,271.33,271.62,272.03,270.93,64.37M,-0.0025
43237,272.01,271.94,273.23,271.13,56.54M,-0.0008
43236,272.24,271.14,272.76,271.11,53.94M,0.0042
43235,271.1,271.59,271.61,270.03,87.04M,-0.0069
43234,272.98,273.34,274.08,272.36,54.79M,0.0005
43231,272.85,272.16,273.15,271.58,59.87M,0.0031
