40420,2120,2145.8,2154.5,2119.9,425.38M,-0.0156
40417,2153.6,2134.2,2155,2099.3,574.92M,0.0165
40416,2118.7,2148.5,2154.3,2116.8,494.23M,-0.0107
40415,2141.5,2109.1,2148.4,2102.3,548.41M,0.0084
40414,2123.8,2131,2144.2,2113.7,588.48M,-0.0166
40413,2159.6,2188.3,2200.5,2159.4,451.39M,-0.0092
40410,2179.8,2172.3,2182.7,2159.5,558.44M,0.0004
40409,2178.9,2204.8,2211.7,2168.7,616.31M,-0.0166
40408,2215.7,2205.3,2228.9,2196.1,470.37M,0.0028
40407,2209.4,2197.1,2225.1,2193.4,495.88M,0.0126
40406,2181.9,2161.3,2193.8,2155.7,459.60M,0.0039
40403,2173.5,2183.1,2190.3,2173.5,468.63M,-0.0077
40402,2190.3,2164.6,2198,2163.1,594.74M,-0.0083
40401,2208.6,2236.9,2236.9,2204.9,641.70M,-0.0301
40400,2277.2,2280.1,2290.5,2261.5,567.32M,-0.0124
40399,2305.7,2298.8,2309.4,2289,441.72M,0.0075
40396,2288.5,2267.4,2291.1,2253.9,512.54M,-0.002
40395,2293.1,2291.2,2298.9,2281.7,473.76M,-0.0046
40394,2303.6,2291.1,2305.1,2283.2,541.23M,0.0088
40393,2283.5,2291.8,2295,2272.3,515.63M,-0.0052
40392,2295.4,2283.3,2299.2,2274.3,524.82M,0.018
40389,2254.7,2227.3,2264.8,2218.6,624.50M,0.0013
40388,2251.7,2279.1,2282.9,2228.5,669.34M,-0.0057
40387,2264.6,2284.6,2292.2,2257.8,540.55M,-0.0104
40386,2288.3,2306.6,2307.6,2280.7,567.00M,-0.0036
40385,2296.4,2271.6,2296.4,2263,577.81M,0.0119
40382,2269.5,2234.3,2269.5,2227.5,670.31M,0.0105
40381,2245.9,2216,2251.4,2216,630.73M,0.0268
40380,2187.3,2236.1,2236.4,2183.2,636.84M,-0.0158
40379,2222.5,2165.4,2222.6,2159.9,558.77M,0.011
40378,2198.2,2185.8,2201.3,2171.2,470.21M,0.0088
40375,2179.1,2231.7,2236.7,2177.5,711.02M,-0.0311
40374,2249.1,2247.8,2253.3,2218.9,567.69M,-0.0003
40373,2249.8,2247,2260.3,2235.1,614.49M,0.0035
40372,2242,2221.3,2248.2,2213,645.59M,0.0199
40371,2198.4,2194.1,2213.4,2183.5,487.94M,0.0009
40368,2196.4,2174.2,2196.9,2170.8,450.66M,0.0097
40367,2175.4,2175,2181.3,2150.2,585.53M,0.0074
40366,2159.5,2099.7,2159.8,2098.1,627.45M,0.0313
40365,2093.9,2122.3,2136.3,2077.8,632.38M,0.001
40361,2091.8,2105.5,2110.7,2077.7,492.51M,-0.0046
40360,2101.4,2110.8,2117.9,2061.1,739.37M,-0.0037
40359,2109.2,2134,2153.4,2105.3,650.56M,-0.0121
40358,2135.2,2183.9,2185.3,2122.7,814.46M,-0.0385
40357,2220.6,2227.4,2241.6,2208.4,494.23M,-0.0013
40354,2223.5,2224.7,2240.9,2205.9,1.74B,0.0027
40353,2217.4,2246.2,2247.4,2213.5,576.45M,-0.0163
40352,2254.2,2264.4,2271.7,2237,511.84M,-0.0033
40351,2261.8,2296.8,2313.7,2259.6,526.15M,-0.0119
40350,2289.1,2341.1,2341.1,2277.7,503.81M,-0.009
40347,2309.8,2308.9,2322,2301.5,782.92M,0.0011
40346,2307.2,2316.6,2318.3,2288.6,471.31M,0.0005
40345,2305.9,2293.6,2317.8,2290.3,499.15M,0
40344,2305.9,2256.5,2308,2256.4,582.19M,0.0276
40343,2244,2263.7,2279,2242,495.94M,0.0002
40340,2243.6,2199.4,2243.6,2196.9,479.99M,0.0112
40339,2218.7,2188.7,2219.6,2186,599.25M,0.0277
40338,2158.9,2184.8,2208.6,2152.7,624.76M,-0.0054
40337,2170.6,2176.1,2183.1,2139.5,732.98M,-0.0015
40336,2173.9,2226.6,2232.9,2172.3,611.15M,-0.0204
40333,2219.2,2257.1,2278.6,2212.3,651.22M,-0.0364
