"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 03월 01일","7,180.6","7,274.8","7,307.9","7,117.7","593.82M","-1.27%"
"2018년 02월 28일","7,273.0","7,371.4","7,386.8","7,273.0","603.59M","-0.78%"
"2018년 02월 27일","7,330.4","7,416.2","7,438.1","7,330.4","530.42M","-1.23%"
"2018년 02월 26일","7,421.5","7,373.3","7,421.9","7,360.3","448.97M","1.15%"
"2018년 02월 23일","7,337.4","7,261.4","7,337.8","7,232.5","445.46M","1.77%"
"2018년 02월 22일","7,210.1","7,252.5","7,280.9","7,194.8","465.45M","-0.11%"
"2018년 02월 21일","7,218.2","7,258.5","7,338.6","7,218.1","475.70M","-0.22%"
"2018년 02월 20일","7,234.3","7,209.0","7,296.0","7,206.0","489.83M","-0.07%"
"2018년 02월 16일","7,239.5","7,236.5","7,303.3","7,226.4","515.06M","-0.23%"
"2018년 02월 15일","7,256.4","7,200.8","7,256.9","7,130.4","508.64M","1.58%"
"2018년 02월 14일","7,143.6","6,979.2","7,152.0","6,977.1","545.97M","1.85%"
"2018년 02월 13일","7,013.5","6,942.2","7,025.7","6,938.2","441.58M","0.45%"
"2018년 02월 12일","6,982.0","6,936.7","7,023.6","6,879.7","580.70M","1.56%"
"2018년 02월 09일","6,874.5","6,863.3","6,917.0","6,630.7","794.77M","1.44%"
"2018년 02월 08일","6,777.2","7,067.3","7,074.0","6,776.8","672.31M","-3.90%"
"2018년 02월 07일","7,052.0","7,086.2","7,170.3","7,051.5","579.22M","-0.90%"
"2018년 02월 06일","7,115.9","6,837.6","7,126.5","6,824.8","789.88M","2.13%"
"2018년 02월 05일","6,967.5","7,166.0","7,277.4","6,967.5","760.52M","-3.78%"
"2018년 02월 02일","7,241.0","7,347.6","7,364.4","7,238.2","618.43M","-1.96%"
"2018년 02월 01일","7,385.9","7,377.2","7,441.1","7,362.3","538.73M","-0.35%"
"2018년 01월 31일","7,411.5","7,443.3","7,454.0","7,381.1","611.53M","0.12%"
"2018년 01월 30일","7,402.5","7,388.9","7,433.6","7,374.0","505.85M","-0.86%"
"2018년 01월 29일","7,466.5","7,484.5","7,500.6","7,455.5","486.38M","-0.52%"
"2018년 01월 26일","7,505.8","7,448.3","7,505.8","7,431.2","485.12M","1.28%"
"2018년 01월 25일","7,411.2","7,457.9","7,458.5","7,388.6","464.67M","-0.05%"
"2018년 01월 24일","7,415.1","7,474.2","7,486.3","7,376.8","520.52M","-0.61%"
"2018년 01월 23일","7,460.3","7,425.0","7,465.4","7,423.2","472.92M","0.71%"
"2018년 01월 22일","7,408.0","7,338.0","7,408.0","7,332.8","501.22M","0.98%"
"2018년 01월 19일","7,336.4","7,312.0","7,336.4","7,297.3","510.98M","0.55%"
"2018년 01월 18일","7,296.0","7,293.6","7,313.9","7,276.1","463.52M","-0.03%"
"2018년 01월 17일","7,298.3","7,257.8","7,309.4","7,229.3","518.58M","1.03%"
"2018년 01월 16일","7,223.7","7,307.2","7,330.3","7,205.9","577.49M","-0.51%"
"2018년 01월 12일","7,261.1","7,208.2","7,265.3","7,205.2","464.78M","0.68%"
"2018년 01월 11일","7,211.8","7,168.7","7,211.8","7,163.2","456.81M","0.81%"
"2018년 01월 10일","7,153.6","7,129.8","7,154.2","7,111.5","457.15M","-0.14%"
"2018년 01월 09일","7,163.6","7,174.2","7,181.1","7,148.3","491.70M","0.09%"
"2018년 01월 08일","7,157.4","7,135.4","7,161.4","7,124.1","497.21M","0.29%"
"2018년 01월 05일","7,136.6","7,105.7","7,137.0","7,097.1","476.41M","0.83%"
"2018년 01월 04일","7,077.9","7,089.5","7,098.0","7,072.4","493.87M","0.18%"
"2018년 01월 03일","7,065.5","7,017.1","7,069.1","7,016.7","483.92M","0.84%"
"2018년 01월 02일","7,006.9","6,937.6","7,006.9","6,924.1","462.20M","1.50%"
"2017년 12월 29일","6,903.4","6,952.6","6,955.0","6,903.4","422.84M","-0.67%"
"2017년 12월 28일","6,950.2","6,953.4","6,954.8","6,936.8","293.06M","0.16%"
"2017년 12월 27일","6,939.3","6,941.5","6,955.4","6,931.3","316.13M","0.04%"
"2017년 12월 26일","6,936.3","6,928.9","6,942.1","6,915.6","322.15M","-0.34%"
"2017년 12월 22일","6,960.0","6,958.0","6,962.3","6,944.4","372.94M","-0.08%"
"2017년 12월 21일","6,965.4","6,972.9","6,992.6","6,961.2","436.63M","0.06%"
"2017년 12월 20일","6,961.0","6,991.3","6,991.3","6,935.4","442.66M","-0.04%"
