44530,2839.01,-2.42,967751,0.15
44529,2909.32,-0.92,844400,0.42
44526,2936.44,-1.47,595598,0
44525,2980.27,-0.47,595970,0.07
44524,2994.29,-0.1,556640,0.06
44523,2997.33,-0.53,524233,-0.01
44522,3013.25,1.42,530959,-0.19
44519,2971.02,0.8,657094,0.21
44518,2947.38,-0.51,541653,0
44517,2962.42,-1.16,541490,-0.07
44516,2997.21,-0.08,579646,-0.09
44515,2999.52,1.03,639396,-0.04
44512,2968.8,1.5,665733,0.16
44511,2924.92,-0.18,572859,0
44510,2930.17,-1.09,570932,-0.19
44509,2962.46,0.08,708773,0.27
44508,2960.2,-0.31,560205,-0.19
44505,2969.27,-0.47,688028,-0.11
44504,2983.22,0.25,772024,0.17
44503,2975.71,-1.25,658648,0.25
44502,3013.49,1.16,525853,0.11
44501,2978.94,0.28,475382,-0.13
44498,2970.68,-1.29,545834,-0.12
44497,3009.55,-0.53,617257,0.02
44496,3025.49,-0.77,607875,0.08
44495,3049.08,0.94,564560,-0.29
44494,3020.54,0.48,791796,0.14
44491,3006.16,-0.04,695273,-0.22
44490,3007.33,-0.19,887370,0.3
44489,3013.13,-0.53,680327,-0.2
44488,3029.04,0.74,845704,-0.09
44487,3006.68,-0.28,926369,0.08
44484,3015.06,0.88,857798,0.39
44483,2988.64,1.5,617170,-0.18
44482,2944.41,0.96,752132,0.14
44481,2916.38,-1.35,660181,-0.01
44477,2956.3,-0.11,668947,0.12
44476,2959.46,1.76,595382,-0.34
44475,2908.31,-1.82,901722,0.07
44474,2962.17,-1.89,840557,-0.02
44470,3019.18,-1.62,855482,-0.03
44469,3068.82,0.28,885819,0.08
44468,3060.27,-1.22,821558,-0.08
44467,3097.92,-1.14,894913,0.01
44466,3133.64,0.27,883229,0.17
44463,3125.24,-0.07,753222,0.21
44462,3127.58,-0.41,623841,0.06
44456,3140.51,0.33,589244,-0.04
44455,3130.09,-0.74,612873,-0.01
44454,3153.4,0.15,616557,-0.14
44453,3148.83,0.67,713227,-0.03
